"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00093227","NAPA CO AIRPORT, CA US","2021-05-31","0.00",,"84","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-01","0.00",,"73","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-02","0.00",,"74","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-03","0.00",,"75","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-04","0.00",,"74","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-05","0.00",,"76","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-06","0.00",,"78","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-07","0.00",,"75","46"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-08","0.00",,"71","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-09","0.00",,"69","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-10","0.00",,"73","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-11","0.00",,"77","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-12","0.00",,"85","58"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-13","0.00",,"83","60"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-14","0.02",,"81","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-15","0.00",,"85","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-16","0.00",,"94","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-17","0.00",,"100","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-18","0.00",,"91","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-19","0.00",,"76","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-20","0.00",,"75","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-21","0.00",,"72","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-22","0.00",,"76","58"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-23","0.00",,"77","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-24","0.00",,"76","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-25","0.00",,"76","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-26","0.00",,"78","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-27","0.00",,"77","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-28","0.00",,"80","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-29","0.00",,"78","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-06-30","0.00",,"73","58"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-01","0.00",,"72","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-02","0.00",,"74","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-03","0.00",,"75","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-04","0.00",,"75","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-05","0.00",,"76","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-06","0.00",,"79","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-07","0.00",,"74","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-08","0.00",,"85","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-09","0.00",,"87","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-10","0.00",,"81","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-11","0.00",,"73","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-12","0.00",,"71","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-13","0.00",,"69","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-14","0.00",,"71","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-15","0.00",,"70","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-16","0.00",,"73","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-17","0.00",,"80","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-18","0.00",,"79","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-19","0.00",,"79","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-20","0.00",,"76","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-21","0.00",,"75","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-22","0.00",,"72","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-23","0.00",,"78","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-24","0.00",,"75","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-25","0.00",,"75","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-26","0.00",,"70","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-27","0.00",,"89","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-28","0.00",,"82","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-29","0.00",,"79","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-30","0.00",,"78","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-07-31","0.00",,"77","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-01","0.00",,"77","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-02","0.00",,"81","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-03","0.00",,"79","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-04","0.00",,"75","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-05","0.00",,"73","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-06","0.00",,"80","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-07","0.00",,"75","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-08","0.00",,"74","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-09","0.00",,"76","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-10","0.00",,"85","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-11","0.00",,"81","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-12","0.00",,"82","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-13","0.00",,"82","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-14","0.00",,"79","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-15","0.00",,"77","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-16","0.00",,"84","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-17","0.00",,"73","58"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-18","0.00",,"74","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-19","0.00",,"75","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-20","0.00",,"72","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-21","0.00",,"70","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-22","0.00",,"73","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-23","0.00",,"71","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-24","0.00",,"71","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-25","0.00",,"75","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-26","0.00",,"87","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-27","0.00",,"94","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-28","0.00",,"99","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-29","0.00",,"85","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-30","0.00",,"77","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-08-31","0.00",,"75","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-01","0.00",,"69","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-02","0.00",,"71","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-03","0.00",,"76","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-04","0.00",,"83","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-05","0.00",,"91","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-06","0.00",,"93","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-07","0.00",,"87","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-08","0.00",,"88","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-09","0.00",,"77","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-10","0.00",,"76","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-11","0.00",,"78","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-12","0.00",,"83","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-13","0.00",,"81","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-14","0.00",,"77","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-15","0.00",,"72","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-16","0.00",,"69","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-17","0.00",,"69","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-18","0.00",,"70","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-19","0.00",,"81","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-20","0.00",,"89","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-21","0.00",,"96","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-22","0.00",,"83","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-23","0.00",,"88","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-24","0.00",,"78","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-25","0.00",,"73","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-26","0.00",,"74","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-27","0.00",,"77","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-28","0.00",,"83","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-29","0.00",,"79","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-09-30","0.00",,"88","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-01","0.00",,"89","46"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-02","0.00",,"91","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-03","0.00",,"92","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-04","0.00",,"88","48"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-05","0.00",,"71","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-06","0.00",,"70","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-07","0.00",,"68","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-08","0.00",,"69","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-09","0.00",,"73","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-10","0.00",,"78","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-11","0.00",,"73","41"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-12","0.00",,"75","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-13","0.00",,"68","40"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-14","0.00",,"79","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-15","0.00",,"83","39"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-16","0.00",,"85","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-17","0.05",,"67","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-18","0.00",,"65","41"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-19","0.03",,"68","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-20","0.09",,"62","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-21","0.49",,"66","57"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-22","0.58",,"65","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-23","0.39",,"65","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-24","4.79",,"62","56"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-25","0.29",,"64","51"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-26","0.00",,"65","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-27","0.00",,"74","52"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-28","0.00",,"76","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-29","0.00",,"76","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-30","0.00",,"66","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-10-31","0.02",,"64","54"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-01","0.11",,"62","55"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-02","0.00",,"69","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-03","0.00",,"72","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-04","0.09",,"68","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-05","0.00",,"65","41"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-06","0.00",,"63","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-07","0.00",,"63","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-08","0.62",,"63","38"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-09","0.38",,"62","50"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-10","0.00",,"66","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-11","0.00",,"70","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-12","0.00",,"68","46"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-13","0.00",,"67","46"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-14","0.00",,"59","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-15","0.00",,"58","46"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-16","0.00",,"62","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-17","0.00",,"65","39"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-18","0.00",,"60","41"
"USW00093227","NAPA CO AIRPORT, CA US","2021-11-19","0.00",,"59","47"
